                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5054,                 2.6358,                 1.2346,                0.58648,                0.42669,                0.45212,                0.28616,                 1.4584,                 1.6284,                 1.2307,              0.0033274,              0.0033274,              0.0033274
                      2,                 1.4569,                 1.5728,                 1.2107,                0.64074,                0.48236,                0.52052,                0.31334,                 1.4841,                 1.5489,                 1.2597,              0.0065948,              0.0065948,              0.0065948
                      3,                 1.4861,                 1.5161,                 1.2237,                0.60963,                0.46385,                0.50472,                0.29632,                 1.5435,                 1.6091,                 1.2853,              0.0097962,              0.0097962,              0.0097962
                      4,                 1.5017,                  1.494,                 1.2355,                0.64174,                0.48579,                0.53552,                0.31734,                 1.5148,                  1.507,                 1.2812,               0.009703,               0.009703,               0.009703
                      5,                 1.4679,                 1.4172,                 1.2182,                0.66488,                0.51282,                 0.5702,                0.33612,                  1.495,                  1.393,                  1.269,               0.009703,               0.009703,               0.009703
                      6,                 1.4405,                  1.354,                  1.204,                0.67653,                 0.5312,                0.59307,                0.35917,                  1.466,                 1.3711,                 1.2487,               0.009604,               0.009604,               0.009604
                      7,                 1.4162,                 1.3032,                 1.1927,                0.68293,                0.54192,                0.59274,                0.35933,                 1.4542,                 1.3483,                  1.242,               0.009505,               0.009505,               0.009505
                      8,                 1.3929,                 1.2607,                  1.187,                0.69765,                 0.5613,                0.62445,                0.37953,                 1.4336,                 1.2751,                 1.2277,               0.009406,               0.009406,               0.009406
                      9,                 1.3724,                 1.2197,                 1.1727,                0.72604,                0.56931,                0.63576,                0.39583,                 1.4091,                 1.2473,                 1.2162,               0.009307,               0.009307,               0.009307
                     10,                 1.3588,                 1.1976,                  1.166,                0.70768,                0.55427,                0.62141,                0.37807,                 1.4364,                 1.2795,                 1.2088,               0.009208,               0.009208,               0.009208
                     11,                 1.3581,                 1.1799,                 1.1629,                0.73008,                 0.5811,                0.65506,                0.40849,                 1.3867,                 1.1869,                 1.1977,               0.009109,               0.009109,               0.009109
                     12,                 1.3384,                 1.1515,                 1.1547,                0.71941,                0.57933,                0.64731,                0.39901,                 1.4161,                 1.2272,                 1.2033,                0.00901,                0.00901,                0.00901
                     13,                 1.3302,                 1.1324,                 1.1497,                0.74439,                0.58367,                0.65738,                0.41194,                 1.3882,                 1.1742,                 1.1913,               0.008911,               0.008911,               0.008911
                     14,                 1.3237,                 1.1215,                 1.1459,                 0.7591,                0.59319,                0.67083,                0.42166,                 1.3733,                 1.1507,                 1.1856,               0.008812,               0.008812,               0.008812
                     15,                  1.312,                 1.1036,                 1.1426,                0.74106,                0.59566,                0.66972,                0.41972,                 1.3615,                  1.156,                 1.1826,               0.008713,               0.008713,               0.008713
                     16,                 1.3045,                  1.087,                  1.138,                0.75944,                0.60337,                0.68186,                0.42614,                 1.3677,                 1.1359,                 1.1755,               0.008614,               0.008614,               0.008614
                     17,                 1.3002,                 1.0771,                 1.1346,                0.74679,                0.61659,                0.68254,                 0.4305,                  1.352,                 1.1197,                  1.174,               0.008515,               0.008515,               0.008515
                     18,                 1.2939,                 1.0706,                 1.1316,                0.74205,                0.61833,                0.68448,                0.43321,                 1.3469,                 1.1115,                 1.1682,               0.008416,               0.008416,               0.008416
                     19,                 1.2868,                 1.0604,                 1.1283,                0.76687,                0.61252,                0.69432,                0.44262,                 1.3403,                 1.0946,                 1.1658,               0.008317,               0.008317,               0.008317
                     20,                 1.2842,                 1.0454,                 1.1247,                0.76296,                0.61021,                0.69127,                 0.4436,                 1.3291,                 1.0886,                 1.1699,               0.008218,               0.008218,               0.008218
                     21,                 1.2728,                 1.0359,                  1.119,                0.76595,                0.61719,                 0.6969,                 0.4462,                 1.3314,                 1.0844,                 1.1635,               0.008119,               0.008119,               0.008119
                     22,                 1.2703,                 1.0301,                 1.1185,                0.76003,                0.62023,                0.70053,                0.44629,                 1.3228,                 1.0715,                  1.157,                0.00802,                0.00802,                0.00802
                     23,                 1.2644,                 1.0209,                 1.1176,                0.77736,                0.62268,                0.71053,                0.45574,                 1.3199,                 1.0536,                 1.1481,               0.007921,               0.007921,               0.007921
